t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,label,ID,date,channel
224.3333333,224.6666667,234,239.3333333,229.3333333,200.3333333,163.3333333,137,131,138.3333333,139,116.3333333,74,30.33333333,3.666666667,-9,-48.33333333,-168.3333333,-411,-780.6666667,-1252,-1791.333333,-2364.666667,-2920.333333,-3362.666667,-3579.666667,-3519.666667,-3235,-2865.666667,-2535.666667,-2281.333333,-2051.666667,-1788.666667,-1493,-1216.666667,-999.3333333,-833.6666667,-676.6666667,-497,-303.6666667,-119.6666667,45.33333333,201.6666667,357.3333333,510.3333333,647.6666667,759.6666667,838.6666667,882,894,895.6666667,908.6666667,946.6666667,1002.333333,1058.333333,1104.333333,1144.666667,1188.333333,1243.666667,1299,1339.333333,1349,1329.333333,1296.333333,1262.333333,1239,1226.666667,1222.666667,1221.333333,1213,1194,1169,1146.333333,1132.333333,1124,1115.666667,1105.333333,1097.666667,1093.333333,1092,1086.333333,1069,1038,996.3333333,951,906,864.6666667,827.6666667,793.6666667,763,730.3333333,700.3333333,674.6666667,655.6666667,638.3333333,617.6666667,586.6666667,548,507.3333333,473,451.3333333,432.6666667,402,351.3333333,289.6666667,236.6666667,205.3333333,191.3333333,181.6666667,166.3333333,147.6666667,131,115.6666667,89.33333333,48.66666667,-2.333333333,-55.33333333,-102,-138.3333333,-164.6666667,-175.3333333,-171.6666667,-159.6666667,-149.3333333,-148.6666667,-154.3333333,-157.3333333,-152.6666667,-143.6666667,-136,-130.3333333,-123.3333333,-116.6666667,-117,-126,-141,-155.3333333,-164.6666667,-171.6666667,-176.3333333,-178.3333333,-179,-179.6666667,-181,-180.6666667,-176.6666667,-172.6666667,-172,-175.6666667,-179.3333333,-178.3333333,1-Cit,1,20.6.21,1
-434.6666667,-364.3333333,-295,-234.6666667,-182.6666667,-138.6666667,-100.6666667,-62,-23,10.33333333,34,48.33333333,64,77.33333333,69.66666667,18,-81.33333333,-216.3333333,-390,-647.6666667,-1039,-1547.333333,-2062.666667,-2445.333333,-2611.666667,-2580.666667,-2430.666667,-2233,-2020.666667,-1811.666667,-1620.333333,-1453.666667,-1290.666667,-1103,-879.6666667,-647.3333333,-450.6666667,-312.6666667,-214,-108.6666667,37.33333333,216.3333333,394.6666667,539.3333333,644.3333333,725.6666667,800.6666667,868.6666667,918,936,931.6666667,924.6666667,941.6666667,989.3333333,1052.333333,1101.333333,1114.666667,1095.333333,1068.666667,1057,1066.333333,1080,1082.333333,1067.333333,1044.333333,1031,1032.666667,1039.666667,1029.333333,987,924,867,843.3333333,855.3333333,886,912.6666667,925.3333333,926.6666667,926.3333333,926,920.3333333,906,888,874.3333333,868,863,845.6666667,809.6666667,763.6666667,721,690.3333333,664.3333333,630.6666667,581.6666667,524.3333333,473.6666667,438.6666667,420,412.3333333,408,399.3333333,379.6666667,341,289.3333333,238.6666667,201.6666667,180.3333333,162.3333333,132.6666667,95.33333333,67.66666667,64,79.66666667,93.33333333,85.66666667,58.66666667,21.66666667,-9,-24.33333333,-24.66666667,-12.33333333,0.333333333,7.333333333,1.666666667,-12.66666667,-31.33333333,-52.33333333,-71.66666667,-86.66666667,-92,-90.33333333,-88.33333333,-94.66666667,-109,-128,-144,-152.3333333,-145.6666667,-125.6666667,-101.3333333,-90.33333333,-103,-137.6666667,-181,-218.6666667,-244.6666667,-264.6666667,-285,-305.6666667,-324.3333333,-334.3333333,1-Cit,1,20.6.21,1
305.8333333,316.1666667,322.5,325.8333333,325.8333333,316.8333333,293.8333333,260.5,227.5,209.8333333,213.5,230.8333333,242.5,227.8333333,177.1666667,91.5,-27.83333333,-191.8333333,-434.5,-782.1666667,-1212.5,-1645.833333,-1990.166667,-2200.833333,-2290.166667,-2293.166667,-2217.166667,-2054.5,-1823.166667,-1592.166667,-1433.833333,-1358.166667,-1296.166667,-1169.5,-962.1666667,-730.8333333,-544.1666667,-417.1666667,-315.5,-200.1666667,-63.16666667,78.83333333,203.1666667,304.8333333,392.8333333,477.1666667,571.1666667,677.1666667,782.5,868.5,929.1666667,973.1666667,1012.166667,1043.833333,1063.833333,1074.833333,1097.166667,1146.833333,1221.166667,1290.5,1331.833333,1335.5,1313.833333,1282.833333,1251.833333,1220.5,1181.166667,1134.166667,1093.833333,1079.5,1104.5,1154.5,1201.833333,1221.833333,1215.5,1197.166667,1182.833333,1172.166667,1153.833333,1124.5,1088.833333,1056.5,1031.5,1000.833333,956.5,896.5,834.1666667,779.1666667,730.1666667,673.5,597.8333333,513.8333333,446.1666667,414.1666667,410.8333333,410.1666667,385.1666667,336.5,286.8333333,260.5,256.8333333,252.1666667,219.5,158.8333333,93.16666667,55.16666667,52.83333333,67.83333333,74.16666667,65.83333333,59.16666667,69.5,88.16666667,92.83333333,70.16666667,33.16666667,2.166666667,-8.5,-3.833333333,1.833333333,6.166666667,13.83333333,28.83333333,46.16666667,50.83333333,36.16666667,3.166666667,-33.16666667,-55.16666667,-53.5,-38.83333333,-29.83333333,-41.16666667,-70.5,-96.5,-103.5,-90.83333333,-73.16666667,-75.16666667,-106.8333333,-160.8333333,-214.5,-249.1666667,-257.5,-252.1666667,-249.1666667,-252.1666667,-256.5,-251.1666667,-235.8333333,-218.8333333,1-Cit,1,20.6.21,1
19.83333333,-17.83333333,-35.5,-33.16666667,-15.16666667,6.833333333,29.83333333,59.5,70.5,8.833333333,-123.5,-169.1666667,32.5,301.8333333,-29.83333333,-1684.5,-4664.833333,-7943.833333,-10107.5,-10416.16667,-9237.5,-7544.833333,-6096.166667,-5083.833333,-4347.166667,-3730.166667,-3200.166667,-2764.5,-2384.166667,-1966.166667,-1410.833333,-707.1666667,16.83333333,570.5,877.8333333,1054.166667,1286.833333,1636.833333,1994.5,2230.833333,2337.833333,2401.833333,2485.166667,2578.833333,2674.833333,2804.166667,2990.166667,3171.166667,3227.5,3110.5,2914.166667,2800.166667,2842.166667,2960.833333,3006.833333,2908.833333,2729.166667,2588.833333,2561.166667,2604.5,2620.833333,2548.5,2416.833333,2317.833333,2312.833333,2359.5,2335.166667,2150.166667,1834.833333,1535.5,1395.5,1447.5,1620.833333,1830.833333,2054.5,2310.166667,2586.833333,2812.166667,2891.833333,2799.5,2599.833333,2411.5,2318.5,2305.833333,2281.5,2143.5,1871.166667,1537.166667,1248.166667,1070.5,989.8333333,938.8333333,854.1666667,707.1666667,513.8333333,310.1666667,137.1666667,28.5,-14.16666667,-14.5,-17.16666667,-55.83333333,-151.5,-301.1666667,-481.8333333,-660.8333333,-813.1666667,-936.1666667,-1047.833333,-1176.166667,-1326.833333,-1480.5,-1606.833333,-1684.166667,-1713.833333,-1717.833333,-1727.833333,-1752.5,-1766.833333,-1728.166667,-1612.833333,-1441.166667,-1274.166667,-1166.833333,-1127.166667,-1117.833333,-1088.833333,-1022.166667,-930.1666667,-835.5,-745.8333333,-651.8333333,-550.1666667,-453.5,-386.5,-357.5,-351.8333333,-341.1666667,-309.1666667,-264.8333333,-229.8333333,-217.5,-227.1666667,-242.5,-253.1666667,-257.1666667,-267.1666667,-299.5,-359.1666667,-437.8333333,-513.8333333,2-Benz,1,20.6.21,1
207.3333333,207.6666667,207,208.3333333,209.3333333,201.3333333,189.3333333,189,193,153.3333333,54,7.333333333,172,456.3333333,331.6666667,-873,-3314.333333,-6241.333333,-8430,-9114.666667,-8505,-7437.333333,-6594.666667,-6080.333333,-5602.666667,-4917.666667,-4043.666667,-3155,-2384.666667,-1753.666667,-1227.333333,-785.6666667,-417.6666667,-82,295.3333333,752.6666667,1235.333333,1628.333333,1871,2030.333333,2219.333333,2463.333333,2661.666667,2711.333333,2642.333333,2608.666667,2741.666667,3000.666667,3201,3173,2914.666667,2607.666667,2470.666667,2579.333333,2783.333333,2841.333333,2631.666667,2273.333333,2024.666667,2030,2196.333333,2295,2206.333333,2036.333333,1985.333333,2112,2243.666667,2150.666667,1796.333333,1396,1228,1379,1703.333333,1981.333333,2108,2129.666667,2148.333333,2215.666667,2313.333333,2403,2467.333333,2511,2531,2499.333333,2383,2171,1899.666667,1629.666667,1407.666667,1243,1119.333333,1014.333333,915.6666667,810.6666667,678.3333333,502.6666667,292.6666667,90,-54.66666667,-118,-128.6666667,-152.3333333,-239,-390.6666667,-561.3333333,-697.3333333,-775.6666667,-813.6666667,-837.3333333,-857.6666667,-859.3333333,-830,-786.3333333,-777.6666667,-846.3333333,-987.3333333,-1150.333333,-1271,-1314.333333,-1299.666667,-1277.333333,-1297.666667,-1378.666667,-1496.333333,-1592.666667,-1618.333333,-1572.333333,-1496.666667,-1433.666667,-1379,-1288.333333,-1134.333333,-945.6666667,-786,-690,-635,-566.3333333,-457.6666667,-335.6666667,-245.3333333,-206.3333333,-198,-181.6666667,-144,-101.6666667,-76.66666667,-71.66666667,-68,-57.66666667,-49.33333333,-65.33333333,2-Benz,1,20.6.21,1
423,398.3333333,352.6666667,290,224,179,170,173.6666667,137.6666667,63,60.66666667,232,438.6666667,212,-946.6666667,-3066.333333,-5506.666667,-7363.666667,-8124.333333,-7941,-7330.333333,-6686.666667,-6064,-5343.666667,-4474,-3544,-2686,-1964.333333,-1365,-843,-366.6666667,79,526,1024.666667,1589,2128.333333,2495,2621,2603.666667,2616,2723,2823,2777.333333,2582,2379,2314.333333,2411.333333,2581.333333,2718.666667,2779.666667,2782.333333,2754.333333,2704.333333,2623,2504,2354,2193.333333,2049,1959.333333,1967.666667,2101,2303.666667,2439,2376,2103,1758.666667,1518.333333,1459.333333,1516,1565.666667,1567.666667,1601.666667,1788,2165,2627.666667,2992.333333,3120,3013.333333,2790,2588.666667,2465,2371.666667,2231.666667,2016,1771.666667,1567.666667,1437.333333,1358.333333,1276.333333,1144.666667,954,735,533.3333333,382.3333333,282,205.3333333,113.3333333,-5.333333333,-131,-236.3333333,-323,-419.6666667,-552.3333333,-702,-811.6666667,-843.6666667,-815,-781,-782.6666667,-813,-841.6666667,-846.3333333,-827.6666667,-799,-768.6666667,-731.6666667,-686.6666667,-632.3333333,-571.6666667,-510,-455.6666667,-421,-417,-445.6666667,-494,-541.6666667,-571.6666667,-579,-566,-536.3333333,-494.6666667,-456.6666667,-440,-458.3333333,-510.3333333,-585.3333333,-660.6666667,-715,-738,-738.6666667,-749.6666667,-791.3333333,-852,-888.3333333,-866,-796,-729,-706.3333333,-717,-710.6666667,-643.6666667,2-Benz,1,20.6.21,1
569.8333333,541.1666667,512.5,492.8333333,492.8333333,514.8333333,558.8333333,620.5,670.5,657.8333333,584.5,572.8333333,763.5,1036.833333,882.1666667,-316.5,-2680.833333,-5519.833333,-7712.5,-8512.166667,-8007.5,-6874.833333,-5781.166667,-4995.833333,-4410.166667,-3801.166667,-3046.166667,-2171.5,-1302.166667,-552.1666667,61.16666667,597.8333333,1087.833333,1460.5,1629.833333,1618.166667,1590.833333,1709.833333,1981.5,2261.833333,2429.833333,2490.833333,2530.166667,2585.833333,2608.833333,2544.166667,2417.166667,2318.166667,2322.5,2425.5,2572.166667,2706.166667,2790.166667,2804.833333,2733.833333,2587.833333,2418.166667,2297.833333,2279.166667,2347.5,2425.833333,2426.5,2325.833333,2180.833333,2070.833333,2023.5,1989.166667,1893.166667,1710.833333,1493.5,1339.5,1339.5,1517.833333,1799.833333,2049.5,2160.166667,2137.833333,2087.166667,2106.833333,2204.5,2305.833333,2344.5,2319.5,2264.833333,2208.5,2149.5,2083.166667,2011.166667,1934.166667,1842.5,1723.833333,1583.833333,1447.166667,1336.166667,1249.833333,1177.166667,1096.166667,998.5,881.8333333,758.5,641.8333333,552.1666667,499.5,475.8333333,464.1666667,445.1666667,411.8333333,361.8333333,307.1666667,269.8333333,264.1666667,281.5,282.1666667,235.8333333,148.1666667,63.16666667,17.16666667,7.5,9.166666667,6.833333333,10.16666667,27.83333333,47.83333333,44.16666667,0.833333333,-69.83333333,-137.8333333,-179.1666667,-191.1666667,-192.5,-212.8333333,-271.8333333,-357.1666667,-431.5,-459.5,-437.5,-396.8333333,-379.1666667,-406.1666667,-464.8333333,-528.8333333,-577.5,-611.1666667,-639.5,-670.1666667,-704.1666667,-736.1666667,-764.5,-784.1666667,-788.8333333,-772.8333333,3-Mix1,1,20.6.21,1
249.5,258.8333333,257.1666667,247.5,239.5,237.5,248.5,270.1666667,265.1666667,189.5,79.16666667,82.5,290.1666667,455.5,-49.16666667,-1807.833333,-4734.166667,-7862.166667,-9918.833333,-10203.5,-9024.833333,-7340.166667,-5993.5,-5230.166667,-4777.5,-4282.5,-3627.5,-2921.833333,-2296.5,-1764.5,-1250.166667,-700.5,-148.5,327.1666667,668.5,874.8333333,1008.5,1163.5,1417.166667,1780.5,2181.5,2514.5,2714.833333,2799.5,2829.5,2831.833333,2777.833333,2630.833333,2427.166667,2292.166667,2334.833333,2523.833333,2686.833333,2673.5,2503.5,2339.5,2307.833333,2366.5,2371.833333,2253.166667,2097.5,2032.166667,2082.5,2146.5,2108.5,1942.166667,1716.833333,1512.833333,1362.5,1258.166667,1199.166667,1200.166667,1282.5,1450.5,1690.166667,1978.833333,2279.5,2547.833333,2730.5,2791.166667,2731.5,2595.166667,2442.166667,2299.5,2155.166667,1988.166667,1802.833333,1628.833333,1478.833333,1327.166667,1136.5,916.5,720.8333333,605.8333333,571.5,566.8333333,533.8333333,454.1666667,352.5,265.1666667,197.5,129.8333333,26.16666667,-132.5,-329.1666667,-515.1666667,-637.5,-674.5,-652.1666667,-616.5,-596.1666667,-596.8333333,-618.1666667,-666.5,-739.1666667,-812.1666667,-854.1666667,-855.8333333,-844.1666667,-854.5,-891.1666667,-935.5,-969.5,-1002.166667,-1060.5,-1156.166667,-1285.166667,-1428.5,-1558.5,-1643.833333,-1658.166667,-1604.166667,-1517.5,-1445.833333,-1406.833333,-1376.833333,-1320.166667,-1227.5,-1130.5,-1063.166667,-1031.166667,-1002.833333,-935.5,-825.8333333,-709.5,-627.5,-598.5,-605.8333333,-613.5,-595.1666667,-545.1666667,3-Mix1,1,20.6.21,1
102.3333333,96.66666667,96,91.33333333,76.33333333,56.33333333,54.33333333,84,121,104.3333333,20,-26.66666667,85,235.3333333,-35.33333333,-1244,-3471.333333,-6142.333333,-8385,-9614.666667,-9783,-9176.333333,-8115.666667,-6856.333333,-5627.666667,-4613.666667,-3865.666667,-3286,-2746.666667,-2187.666667,-1600.333333,-979.6666667,-319.6666667,330,871.3333333,1226.666667,1408.333333,1512.333333,1650,1874.333333,2144.333333,2382.333333,2539.666667,2641.333333,2741.333333,2847.666667,2912.666667,2885.666667,2782,2683,2663.666667,2712.666667,2755.666667,2720.333333,2596.333333,2443.333333,2343.666667,2337.333333,2391.666667,2410,2314.333333,2116,1921.333333,1847.333333,1887.333333,1907,1762.666667,1453.666667,1137.333333,998,1090,1312,1525.333333,1679.333333,1805,1944.666667,2106.333333,2273.666667,2436.333333,2590,2712.333333,2756,2693,2530.333333,2311,2080,1860.666667,1663.666667,1497.666667,1373,1282.333333,1200.333333,1097.666667,961.6666667,804.3333333,651.6666667,517.6666667,407,309.3333333,217,126.3333333,44.66666667,-17,-60.66666667,-94.33333333,-133.3333333,-181.6666667,-241.6666667,-311.3333333,-390.6666667,-475.3333333,-558,-629.3333333,-693.6666667,-762.3333333,-841.3333333,-921.3333333,-980,-1004.333333,-1011.666667,-1033.333333,-1087.666667,-1155.666667,-1196.333333,-1174.666667,-1089.333333,-977.3333333,-886.6666667,-847.6666667,-855,-875.3333333,-874.3333333,-840.6666667,-788,-731,-669,-597.3333333,-524.6666667,-477.6666667,-479.3333333,-528.3333333,-598,-649.6666667,-659,-622.6666667,-552.6666667,-473.6666667,-412,-380.6666667,-376.3333333,-382.3333333,3-Mix1,1,20.6.21,1
190.5,125.5,75.16666667,57.16666667,48.16666667,12.16666667,-61.83333333,-136.8333333,-166.1666667,-143.1666667,-85.5,23.16666667,210.8333333,385.5,240.1666667,-596.1666667,-2220.833333,-4234.166667,-5932.833333,-6757.166667,-6635.166667,-5940.833333,-5170.5,-4632.833333,-4367.5,-4226.5,-4030.166667,-3677.5,-3181.5,-2626.833333,-2101.5,-1646.833333,-1263.166667,-943.5,-664.5,-371.8333333,9.5,515.1666667,1079.833333,1576.166667,1899.166667,2046.5,2081.833333,2060.5,2003.166667,1923.166667,1848.5,1812.5,1825.166667,1886.833333,2004.166667,2186.166667,2410.5,2622.166667,2752.833333,2758.166667,2655.166667,2512.166667,2407.833333,2370.5,2352.5,2283.166667,2155.166667,2037.166667,2009.5,2078.5,2172.833333,2223.166667,2218.833333,2202.833333,2205.166667,2207.833333,2167.5,2068.5,1935.5,1808.5,1713.166667,1649.166667,1598.5,1544.5,1478.5,1404.166667,1323.5,1235.5,1131.5,1012.166667,886.1666667,751.8333333,590.1666667,391.5,188.5,51.16666667,28.83333333,97.5,179.1666667,206.8333333,166.5,83.5,-18.16666667,-142.1666667,-300.8333333,-479.8333333,-628.8333333,-685.1666667,-616.1666667,-455.5,-288.8333333,-193.8333333,-179.5,-200.5,-205.8333333,-190.8333333,-177.8333333,-186.8333333,-214.1666667,-255.8333333,-326.8333333,-443.8333333,-588.1666667,-702.8333333,-731.8333333,-670.5,-570.8333333,-495.1666667,-470.5,-475.8333333,-475.1666667,-452.5,-435.5,-460.1666667,-532.8333333,-601.8333333,-588.5,-465.8333333,-295.8333333,-185.8333333,-197.5,-296.5,-384.8333333,-389.5,-311.1666667,-213.8333333,-164.1666667,-182.1666667,-230.1666667,-241.1666667,-164.8333333,-12.5,151.1666667,248.8333333,246.1666667,2-Benz,2,20.6.21,2
